Timestamp,Email address,Score,Name,IITP webmail,Phone (10 digit only),Score_After_Negative,Roll Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,statusAns
07-07-2021 14:10,saurav.primary@gmail.com,140 / 140,Deepti Shakya,james.abhay.3@gmail.com,8377094336,140/140,ANSWER,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,"[28,0,0]"
07-08-2021 12:18,saurav.primary@gmail.com,55 / 140,Ellen Booth,james.abhay.3@gmail.com,7785862435,39/140,1401ME61,Option A,Option D,Option B,Option C,Option B,Option B,Option A,Option B,,Option C,Option C,Option B,Option B,Option B,Option B,Option D,Option C,Option D,Option C,Option B,Option D,Option B,Option B,Option C,Option B,Option A,Option A,Option B,"[11,16,1]"
07-08-2021 12:18,saurav.primary@gmail.com,100 / 140,Rachael Selby,james.abhay.3@gmail.com,9984503025,92/140,1401CS40,Option A,Option D,Option B,Option C,Option B,Option C,Option A,Option D,Option B,Option A,Option C,Option C,Option D,Option D,Option B,Option B,Option C,Option D,Option D,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option C,Option D,"[20,8,0]"
07-08-2021 12:19,saurav.primary@gmail.com,25 / 140,Rowan Knott,james.abhay.3@gmail.com,9799319607,13/140,1401EE17,Option A,,Option C,,,Option D,Option D,,,,Option A,,Option C,,Option A,Option A,Option C,Option C,,Option C,Option B,Option A,Option B,Option B,,Option A,,Option A,"[5,12,11]"
07-08-2021 12:19,saurav.primary@gmail.com,40 / 140,Abdul Rowe,james.abhay.3@gmail.com,9131454766,27/140,1401ME10,Option D,Option D,Option B,Option D,Option B,Option B,Option D,,,Option A,Option B,,Option D,Option C,Option A,,,Option D,Option C,Option B,Option B,,Option B,,Option C,Option C,Option B,Option D,"[8,13,7]"
07-08-2021 12:19,saurav.primary@gmail.com,45 / 140,Henry Spencer,james.abhay.3@gmail.com,7378293221,33/140,1401ME69,Option A,Option D,Option B,Option C,,Option D,Option D,Option C,,Option D,Option B,Option D,Option C,Option C,Option B,Option A,Option B,Option D,,,,Option B,,Option C,,Option A,Option B,Option D,"[9,12,7]"
07-08-2021 12:19,saurav.primary@gmail.com,100 / 140,Livia Ianson,james.abhay.3@gmail.com,9518769455,93/140,1401CS31,Option D,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,Option D,Option D,Option D,Option C,Option C,Option D,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option C,Option C,Option D,"[20,7,1]"
07-08-2021 12:19,saurav.primary@gmail.com,90 / 140,Charlize Driscoll,james.abhay.3@gmail.com,6304699592,88/140,1401CS15,Option A,,,Option C,,Option C,Option D,Option D,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,,Option A,Option A,Option D,Option B,Option A,Option C,Option B,"[18,2,8]"
07-08-2021 12:19,saurav.primary@gmail.com,35 / 140,Danielle Ellison,james.abhay.3@gmail.com,8171611219,24/140,1401EE32,Option D,Option D,Option A,Option C,Option A,Option C,,,,Option B,Option A,Option A,,,,Option A,Option C,Option D,Option A,Option C,Option B,,Option A,,Option A,,,Option B,"[7,11,10]"
07-08-2021 12:19,saurav.primary@gmail.com,105 / 140,Chadwick John,james.abhay.3@gmail.com,8922824586,104/140,1401CE04,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,,Option C,Option D,Option B,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B,"[21,1,6]"
